class,t0,hour_mean_w_pergpu,n_gpus,r_1min,r_1min_node,r_5min,r_5min_node,r_15min,r_15min_node
training (SD),2025-09-20 11:30:00,617.1374642300846,4,0.4821985319303701,0.4822095423066355,0.9188217259583698,0.9188363706042204,0.953364136901484,0.9533748548750428
training (SD),2025-09-20 11:40:00,610.6585062722519,4,0.4873145712317688,0.48732568384790725,0.9159474253443167,0.9159490871835414,0.963480012949003,0.9634899610093973
training (SD),2025-09-20 11:50:00,610.7935445013072,4,0.4872063623939661,0.48721794270048935,0.9157442664975323,0.9157465831725681,0.9632665353954781,0.9632769463513043
training (SD),2025-09-20 12:00:00,610.7236839572788,4,0.4872622869801325,0.4872736754507192,0.9158486528182325,0.9158513352170247,0.9633763752857278,0.963387135383251
training (SD),2025-09-20 12:10:00,617.4751400539578,4,0.48193380433861516,0.48194583856552015,0.9058324575831795,0.9058374420580835,0.9528410426987206,0.9528534871005412
training (SD),2025-09-20 12:20:00,624.794680077321,4,0.5422792495928345,0.5422837679914358,0.8952181180180444,0.8952254544352303,0.9794541394323911,0.9794545268492467
training (SD),2025-09-20 12:30:00,630.160354661512,4,0.7046397738544206,0.7046320327548632,0.8875950303177265,0.887602809766376,0.971113494815881,0.9711146904533047
training (SD),2025-09-20 12:40:00,624.7861208766758,4,0.4569230945743462,0.4569367374327735,0.9040800117782818,0.9040921374288585,0.9424462213451061,0.9424586383941991
training (SD),2025-09-20 12:50:00,617.8570263545839,4,0.41348059961192696,0.4134953380838971,0.9061795462495098,0.9061864098626842,0.9483245176030889,0.9483280078086529
training (SD),2025-09-20 13:00:00,611.4892343810849,4,0.4177853694019714,0.41780130480724414,0.9156170508907628,0.9156230544064887,0.9582013832886445,0.9582034972479402
training (SD),2025-09-20 13:10:00,611.4782446731572,4,0.41779327339333094,0.4178088136832371,0.915633989777426,0.9156395103148183,0.9582190584542595,0.9582207184273719
training (SD),2025-09-20 13:20:00,611.3515500417245,4,0.41787989692888516,0.41789539910803125,0.9158240326029804,0.9158292646554699,0.9584179605072733,0.9584192971677775
training (SD),2025-09-20 13:30:00,612.385817023644,4,0.4171736476721901,0.4171896097164771,0.9142759171799489,0.914282507785573,0.9567976065655984,0.9568006093955608
training (SD),2025-09-20 13:40:00,623.988070309892,4,0.40941785768336725,0.40943250705597645,0.8972743814779857,0.8972826038847722,0.9390045968607325,0.9390101362393503
training (SD),2025-09-20 13:50:00,629.5918254840326,4,0.54614226104938,0.5461402834913581,0.9183112956943318,0.9183091395400799,0.9663218071097534,0.9663329054266062
training (SD),2025-09-20 14:00:00,629.8636406675938,4,0.5774463961067227,0.5774687062125893,0.8982788444811607,0.8982875170591796,0.9659057947376479,0.9659158882516008
training (SD),2025-09-20 14:10:00,619.4543430876217,4,0.5112657015656742,0.5112831885042853,0.9133742219388921,0.9133823213523197,0.9616528400802856,0.9616612542801782
training (SD),2025-09-20 14:20:00,614.5652247844229,4,0.5153318481092579,0.5153506558685688,0.9206415185425698,0.9206486521583108,0.9693043854284948,0.9693116637894824
training (SD),2025-09-20 14:30:00,614.7671669262864,4,0.515162608749819,0.515181370615784,0.9203389037722775,0.9203462323631056,0.9689857872645362,0.9689932588972731
training (SD),2025-09-20 14:40:00,614.8483951518692,4,0.5150948215245036,0.5151133094987372,0.9202172714445803,0.9202246445180919,0.9688577028714653,0.9688652442457873
training (SD),2025-09-20 14:50:00,615.9481634818648,4,0.5141745531313011,0.5141935806356077,0.9185737823112909,0.9185815940464395,0.9671273059981149,0.9671353465452542
training (SD),2025-09-20 15:00:00,621.9430531849791,4,0.5092191213204016,0.5092372847397468,0.9228282341247536,0.9228361848671844,0.9578029065127618,0.9578131590864006
training (SD),2025-09-20 15:10:00,631.3792744089012,4,0.6572476947978616,0.6572504984390951,0.9166918618502677,0.9166965172416699,0.9798915798568117,0.9798918503688677
training (SD),2025-09-20 15:20:00,631.8968766620305,4,0.7305979266437317,0.730612741125466,0.9254545956700089,0.9254732580799494,0.9522379237072107,0.9522537293665635
training (SD),2025-09-20 15:30:00,627.1555942698192,4,0.6003431162659627,0.6003615837497325,0.9309980815337293,0.9310797940266118,0.9594380838190129,0.9594527464545317
training (SD),2025-09-20 15:40:00,617.759609791377,4,0.5784716587604043,0.5784789479638377,0.9368501904646448,0.9368611821782247,0.9702299278468324,0.9702334686662403
training (SD),2025-09-20 15:50:00,617.9184171905424,4,0.5783233288270964,0.5783302766592733,0.9366098787063172,0.9366204052672576,0.9699811493025935,0.9699841149498667
training (SD),2025-09-20 16:00:00,617.9680654483757,4,0.5782768295245371,0.5782838129465124,0.9365347869111269,0.93654515611771,0.9699035558164408,0.9699061853219041
training (SD),2025-09-20 16:10:00,618.936317840454,4,0.5773716744032471,0.5773791565722682,0.9350691133441601,0.9350800424031613,0.9683856300941034,0.9683888822376285
training (SD),2025-09-20 16:20:00,623.0604306714508,4,0.5735478057975988,0.5735574136549662,0.9288766271773834,0.9288906337823506,0.961971964210454,0.961978998351523
training (SD),2025-09-20 16:30:00,627.5312532404316,4,0.5694611723731277,0.5694711256552314,0.9222573949611361,0.9222727877576556,0.955116335866937,0.955125415530736
training (SD),2025-09-20 10:40:00,605.8696367378727,4,0.21502044886839955,0.21503908476978298,0.8563056989354767,0.8563223397913656,0.9809853240221079,0.9809955896342449
training (SD),2025-09-20 10:50:00,620.7060292735162,4,0.5461749450524803,0.5461949333585758,0.9195821095516092,0.9195811473774558,0.957534768616683,0.957547395227976
training (SD),2025-09-20 11:00:00,625.9803589308561,4,0.6108660936947106,0.6108878117514639,0.91183103742672,0.9118330222985356,0.9494651041566687,0.9494793775131943
training (SD),2025-09-20 11:10:00,623.5006648356233,4,0.4814829629780942,0.48150882631774283,0.9071005336290313,0.907125078102081,0.968930639103257,0.9689495052480153
training (SD),2025-09-20 11:20:00,622.2763364437893,4,0.4657333575358669,0.4657665100305177,0.9038425350983134,0.9038637454991802,0.9412714121875292,0.9412989521108065
training (SD),2025-09-20 11:30:00,615.6246420565167,4,0.4707617529330247,0.47079901891482767,0.9136116691640996,0.9136298025931784,0.9514440689093673,0.9514694887150353
training (SD),2025-09-20 11:40:00,609.6727387773267,4,0.47535582863165743,0.47539517361601735,0.9225322288534115,0.9225490733300091,0.9607337300468224,0.9607581677222176
training (SD),2025-09-20 11:50:00,609.9237906653316,4,0.4751596545160398,0.4751994953071675,0.9221523353044933,0.9221693411566109,0.960338124216199,0.9603627082310249
training (SD),2025-09-20 12:00:00,610.19949485425,4,0.4749456767126313,0.47498478767051266,0.9217352883397458,0.9217526807817775,0.95990384002274,0.959928791087905
training (SD),2025-09-20 12:10:00,617.8021223436805,4,0.46910253210745634,0.4691396597999479,0.9103895753527743,0.9104096600702537,0.9480889949258252,0.9481159779701138
training (SD),2025-09-20 12:20:00,624.6477896083666,4,0.6321339554818259,0.6321679924846044,0.9039651089483529,0.9039819283950721,0.9818586260163304,0.9818582411629246
training (SD),2025-09-20 12:30:00,629.5881738707166,4,0.6314346041519809,0.6314602436422257,0.8968703923581676,0.8968883737861367,0.9741501923839022,0.9741535904026071
training (SD),2025-09-20 12:40:00,622.9297818758346,4,0.4374988010912096,0.4375299542469729,0.8956732709277994,0.8956978248077944,0.939493998624781,0.9395170004983876
training (SD),2025-09-20 12:50:00,616.3752551593703,4,0.44214761259764557,0.4421826422813484,0.9051988038456957,0.9052226642192397,0.949486062086162,0.9495078124733861
training (SD),2025-09-20 13:00:00,610.6301419035435,4,0.44630717487601124,0.4463429173567776,0.9137172005377767,0.9137394510117631,0.9584215421781936,0.9584412560517637
training (SD),2025-09-20 13:10:00,610.6957173332592,4,0.44625943431258663,0.4462949898410354,0.9136191825773293,0.9136413352800696,0.9583186994224022,0.9583383403190363
training (SD),2025-09-20 13:20:00,610.6588070868331,4,0.44628626418786627,0.44632196539246044,0.9136743028509385,0.913696558796768,0.958376486817134,0.9583962654711674
training (SD),2025-09-20 13:30:00,612.2086418201035,4,0.44515827829998167,0.44519208051835896,0.9113604613790353,0.9113834933387522,0.9559492265688317,0.9559700406206854
training (SD),2025-09-20 13:40:00,624.9577551037437,4,0.48002250648615014,0.48004834701374,0.9009908647187367,0.9010110150056592,0.9437767569093114,0.9437912391317325
training (SD),2025-09-20 13:50:00,629.9241069064308,4,0.7364011935937381,0.7364084772358812,0.9546672485379357,0.9565101665589302,0.9701697606506975,0.9701820111058065
training (SD),2025-09-20 14:00:00,630.5200651424121,4,0.6918762772286066,0.6919035979737318,0.9216010533993758,0.9216175325008713,0.9692527989312101,0.969265009424363
training (SD),2025-09-20 14:10:00,620.9016451599443,4,0.6044925922442823,0.6045261804763128,0.9275894673544096,0.9276098201970261,0.9616689037065506,0.9616931288973122
training (SD),2025-09-20 14:20:00,616.0305727399166,4,0.6092721358569098,0.6093062854503335,0.9349261405236611,0.9349446097539987,0.9692748294987032,0.969297421742498
training (SD),2025-09-20 14:30:00,616.2781519888736,4,0.6090272281925487,0.6090615070299892,0.9345502445589775,0.9345690116842761,0.9688851613403557,0.9689080230157762
training (SD),2025-09-20 14:40:00,616.2311930876217,4,0.609073597969789,0.6091079195769127,0.9346216258792861,0.9346402290040499,0.9689591435882571,0.9689818570843616
training (SD),2025-09-20 14:50:00,617.7956688456189,4,0.6075311608097732,0.607565444253376,0.9322542309505166,0.9322733914646122,0.9665048449591966,0.9665280544732487
training (SD),2025-09-20 15:00:00,622.5548811265646,4,0.6028878429533382,0.6029208209254914,0.9251260135905064,0.9251464905144047,0.9591149913391901,0.9591392887175234
