model,training_fraction,offline_fraction,hours,coverage,n_windows,combined_mw,incremental_shift_mw,combined_actual_coverage,combined_linear_quantile_mw
power_curves,0.75,0.25,1,0.95,4439,7.35582612090319,4.504130338840724,0.950214012164902,7.358072011120539
power_curves,0.75,0.25,1,0.99,4439,6.748409898464125,4.231133994580326,0.9900878576255914,6.749678175150668
power_curves,0.75,0.25,4,0.5,4433,8.837916576603384,5.433937598492406,0.5003383713061132,8.837916576603384
power_curves,0.75,0.25,4,0.8,4433,7.971036324678634,4.819338798094454,0.8003609293931875,7.971036324678634
power_curves,0.75,0.25,4,0.9,4433,7.508377341453993,4.5778049324669,0.9007444168734491,7.508470729605788
power_curves,0.75,0.25,4,0.95,4433,7.177006195198046,4.429140990647294,0.9505977893074667,7.177006195198046
power_curves,0.75,0.25,4,0.99,4433,6.549321722245288,4.1667803996003165,0.9900744416873449,6.549321722245288
power_curves,0.75,0.25,24,0.5,4393,8.405805384724268,5.148539241362109,0.5048941497837469,8.405805384724268
power_curves,0.75,0.25,24,0.8,4393,7.520600559974836,4.610647813309192,0.8015023901661734,7.520600559974836
power_curves,0.75,0.25,24,0.9,4393,7.15779200349064,4.404698771525339,0.9002959253357614,7.15779200349064
power_curves,0.75,0.25,24,0.95,4393,6.6752854400318,4.203684392509058,0.9521966765308445,6.6752854400318
power_curves,0.75,0.25,24,0.99,4393,6.236847794992571,4.046371177359977,0.9943091281584339,6.236847794992571
power_curves,0.75,0.5,1,0.5,4439,9.118786578966493,5.561485861367698,0.5001126379815274,9.118786578966493
power_curves,0.75,0.5,1,0.8,4439,8.27000967234084,4.960238758775248,0.8001802207704438,8.270134521863266
power_curves,0.75,0.5,1,0.9,4439,7.800149264189461,4.730071940941082,0.9002027483667493,7.800357246403016
power_curves,0.75,0.5,1,0.95,4439,7.439074950159477,4.567301565713373,0.950214012164902,7.439155988934073
power_curves,0.75,0.5,1,0.99,4439,6.829905152243283,4.29799231019928,0.9900878576255914,6.830808153226855
power_curves,0.75,0.5,4,0.5,4433,8.860625483700812,5.458167159963063,0.5003383713061132,8.860625483700812
